checked,lastUpdated,link,phanLoai,boNganh,cauHoi,cauTraLoi,TTHCLienQuan,cauHoiLienQuan
True,2025-05-29 23:53:25.318067,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12663&row_limit=1,[],Bộ Giao thông vận tải,Tàu bị sự cố bao lâu thì tôi phải mang kháng nghị lên trình?,"Tại Điều 120 Thông tư 30/2016/TT-BGTVT quy định Thời hạn trình kháng nghị hàng hải như sau:
1. Nếu tai nạn, sự cố xảy ra trong khi tàu hành trình trên biển thì kháng nghị hàng hải phải được trình cơ quan có thẩm quyền xác nhận chậm nhất 24 giờ kể từ khi tàu ghé vào cảng biển đầu tiên.
2. Nếu tai nạn, sự cố xảy ra tại cảng biển Việt Nam thì kháng nghị hàng hải phải được trình cơ quan có thẩm quyền xác nhận chậm nhất 24 giờ kể từ khi xảy ra tai nạn, sự cố đó.
3. Nếu tai nạn, sự cố xảy ra có liên quan đến hàng hóa trong hầm hàng thì kháng nghị hàng hải phải được trình cơ quan có thẩm quyền xác nhận trước khi mở nắp hầm hàng.
4. Nếu không thể trình kháng nghị hàng hải quy định tại các khoản 1, 2 và 3 Điều này thì trong kháng nghị hàng hải phải ghi rõ lý do.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002372'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12662&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12664&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12665&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12666&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12667&row_limit=1']"
True,2025-05-29 23:54:19.372019,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17371&row_limit=1,[],Bộ Tư pháp,"Tôi có chồng người Mỹ, đăng ký kết hôn tại Việt Nam, tôi mới sinh con tại Việt Nam. Vậy tôi xin hỏi, tôi muốn khai sinh cho con tôi thì phải làm như thế nào?","Theo quy định tại điểm a khoản 1 Điều 35 Luật Hộ tịch 2014 về thẩm quyền đăng ký khai sinh: “Ủy ban nhân dân cấp huyện nơi cư trú của người cha hoặc người mẹ thực hiện đăng ký khai sinh cho trẻ em trong các trường hợp sau đây:
1.Trẻ em được sinh ra tại Việt Nam:a, Có cha hoặc mẹ là công dân Việt Nam còn người kia là người nước ngoài hoặc người không quốc tịch”Như vậy, UBND cấp huyện nơi cư trú của chị sẽ có thẩm quyền đăng ký khai sinh cho con của chị. Khi làm thủ tục đăng ký khai sinh cho con, anh, chị cần phải chuẩn bị những giấy tờ sau đây: 
- Giấy chứng sinh (bản chính)
- Sổ Hộ khẩu/Sổ đăng ký tạm trú của chị để chứng minh nơi cư trú và xác định thẩm quyền đăng ký khai sinh.
- Giấy chứng nhận kết hôn của hai vợ chồng chị.
- CMND/Hộ chiếu Việt Nam (bản chính và bản photo) của chị hoặc Hộ chiếu củachồng chị hoặc người đi đăng ký khai sinh thay (ông, bà hoặc người thân thích khác của con chị).
- Điền các thông tin trong tờ khai đăng ký khai sinh (theo mẫu) quy định tại Thông tư số 05/2015/TT-BTP ngày 16/11/2015 của Bộ Tư pháp quy định chi tiết thi hành một số điều của Luật hộ tịch và Nghị định số 123/2015/NĐ-CP ngày 15/11/2015 của Chính phủ quy định chi tiết một số điều và biện pháp thi hành Luật hộ tịch.
- Văn bản thỏa thuận của chị/chồng chị về việc lựa chọn quốc tịch cho con (Việt Nam hoặc Mỹ). Nếu chị và chồng chị lựa chọn quốc tịch Mỹ cho con thì văn bản thỏa thuận phải có xác nhận của cơ quan có thẩm quyền của Mỹ.
*Lưu ý: Các giấy tờ bằng tiếng nước ngoài phải được hợp pháp hóa lãnh sự, dịch ra tiếng Việt theo quy định.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000528'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17380&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17381&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17383&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17386&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17387&row_limit=1']"
True,2025-05-29 23:54:28.495379,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13084&row_limit=1,[],Bộ Giao thông vận tải,"Tôi có nhu cầu lái xe ở nước ngoài, Tôi có thể đến đâu để được cấp giấy phép lái xe quốc tế ?","Để được cấp Giấy phép lái xe quốc tế, bạn có thể thực hiện theo cách thức sau:
a) Làm thủ tục trực tiếp: Bạn có thể đến Tổng cục Đường bộ Việt Nam hoặc một số Sở Giao thông vận tải đã triển khai hệ thống cấp giấy phép lái xe quốc tế như: Sở Giao thông vận tải Hà Nội, Sở GTVT Thành phố Hồ Chí Minh, Sở GTVT Đà Nẵng.
b) Thực hiện trên môi trường mạng (Cổng Dịch vụ công quốc gia): Hiện nay, Giấy phép lái xe quốc tế đã được cấp, đổi thông qua dịch vụ công cấp độ 4; tức là người dân có thể khai dữ liệu, thông tin trên trang thông tin điện tử, thanh toán trực tuyến, nhập địa chỉ gửi GPLX QT để bưu chính gửi về tận nhà bạn.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001002'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13081&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13082&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13083&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13085&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13095&row_limit=1']"
True,2025-05-29 23:54:47.806684,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12727&row_limit=1,[],Bộ Giao thông vận tải,Tôi có thể gửi hồ sơ xin chấp thuận chủ trương xây dựng cảng thủy nội địa đến Cục Đường thủy nội địa bằng đường bưu điện không?,"Căn cứ quy định tại Khoản 2 Điều 6 Thông tư 50/2014/TT-BGTVT ngày 17/10/2014 của Bộ Giao thông vận tải, ông, bà có thể chuyển hồ sơ đến Cục đường thủy nội địa Việt Nam hoặc Sở Giao thông vận tải bằng một trong các hình thức sau:
- Nộp trực tiếp tại trụ sở làm việc của Cục đường thủy nội địa Việt Nam hoặc Sở Giao thông vận tải.
- Gửi qua hệ thống bưu chính.
- Gửi bằng hình thức phù hợp khác.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004252'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12724&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12725&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12726&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12728&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12729&row_limit=1']"
True,2025-05-29 23:54:54.618592,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12698&row_limit=1,[],Bộ Giao thông vận tải,"Tôi có thể thực hiện Thủ tục xin chấp thuận vị trí, quy mô dự kiến đối với hoạt động cắm đăng đáy, đánh bắt và nuôi trồng thủy hải sản trong vùng nước cảng biển ở đâu?","Tại Điều 110 Nghị định số 58/2017/NĐ-CP ngày 10/5/2017 của Chính phủ quy định:Tổ chức hoặc cá nhân nộp hồ sơ đề nghị chấp thuận vị trí, quy mô dự kiến (trực tiếp hoặc gián tiếp qua hệ thống bưu chính và bưu chính công ích) đến CVHHHP.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004053'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12694&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12695&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12696&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12697&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12699&row_limit=1']"
True,2025-05-29 23:55:01.542341,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17380&row_limit=1,[],Bộ Tư pháp,"Tôi là công dân Việt Nam, có con với một công dân Hàn Quốc. Anh này đã có vợ bên Hàn Quốc. Vậy cho tôi hỏi con tôi sinh ra tại Việt Nam thì tôi phải làm thế nào để đăng ký khai sinh cho con của tôi và con tôi có thể có cả 2 quốc tịch Việt Nam và Hàn Quốc hay không?","Theo thông tin chị cung cấp, chị chưa đăng ký kết hôn với anh quốc tịch Hàn Quốc, do đó, việc đăng ký khai sinh cho con chị sẽ được thực hiện theo diện trẻ em chưa xác định được cha theo quy định tại khoản 2 Điều 15 Nghị định số 123/2015/NĐ-CP. Theo đó, họ, dân tộc, quê quán, quốc tịch của con được xác định theo họ, dân tộc, quê quán, quốc tịch của mẹ. Thẩm quyền giải quyết thuộc Ủy ban nhân dân cấp xã nơi chị đang cư trú. Trường hợp người cha muốn nhận con thì bạn có thể kết hợp thực hiện thủ tục nhận con và đăng ký khai sinh. Họ, chữ đệm, tên và dân tộc của trẻ được xác định theo thỏa thuận của cha, mẹ theo quy định của pháp luật dân sự; quốc tịch của trẻ em được xác định theo quy định của pháp luật quốc tịch (khoản 2 Điều 16 Luật quốc tịch Việt Nam năm 2008). Thẩm quyền giải quyết thuộc Ủy ban nhân dân cấp huyện nơi bạn đang cư trú.Theo quy định của Luật quốc tịch Việt Nam thì công dân Việt Nam có một quốc tịch là quốc tịch Việt Nam, do đó, bạn không thể đăng ký cho con bạn có 02 quốc tịch. Trường hợp người cha Hàn Quốc làm thủ tục nhận cha, con thì hai người có thể lựa chọn quốc tịch cho con nhưng con của chị vẫn chỉ có một quốc tịch là quốc tịch Việt Nam hoặc quốc tịch Hàn Quốc.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000528'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17371&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17381&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17383&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17386&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17387&row_limit=1']"
True,2025-05-29 23:55:07.140307,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12696&row_limit=1,[],Bộ Giao thông vận tải,"Tôi muốn hoạt động cắm đăng đáy, đánh bắt và nuôi trồng thủy hải sản trong vùng nước cảng biển, tôi cần thực hiện những thủ tục nào?","Quy định tại Khoản 3 Điều 110 Nghị định số 58/2017/NĐ-CP ngày 10/5/2017:Thực hiện Thủ tục xin chấp thuận vị trí, quy mô dự kiến đối với hoạt động cắm đăng đáy, đánh bắt và nuôi trồng thủy hải sản trong vùng nước cảng biển",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004053'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12694&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12695&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12697&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12698&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12699&row_limit=1']"
True,2025-05-29 23:55:34.583781,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15705&row_limit=1,[],Bộ Y tế,"Tôi muốn nhập khẩu mỹ phẩm từ nước ngoài về Việt Nam để kinh doanh, tôi cần thực hiện những thủ tục nào? Hồ sơ bao gồm những tài liệu nào?","Để nhập khẩu mỹ phẩm về Việt Nam, tổ chức, cá nhân chịu trách nhiệm đưa sản phẩm ra thị trường cần thực hiện công bố sản phẩm mỹ phẩm theo quy định tại Thông tư số 06/2011/TT-BYT ngày 25/01/2011 của Bộ Y tế quy định về quản lý mỹ phẩm. Hồ sơ công bố sản phẩm mỹ phẩm bao gồm:
1. Phiếu công bố sản phẩm mỹ phẩm.
2. Giấy ủy quyền của nhà sản xuất hoặc chủ sở hữu sản phẩm ủy quyền cho tổ chức, cá nhân chịu trách nhiệm đưa sản phẩm ra thị trường được phân phối sản phẩm mỹ phẩm tại Việt Nam.Giấy uỷ quyền phải là bản có chứng thực chữ ký và được hợp pháp hoá lãnh sự theo quy định của pháp luật, trừ trường hợp được miễn hợp pháp hoá lãnh sự theo các điều ước quốc tế mà Việt Nam là thành viên. Giấy uỷ quyền phải đáp ứng các yêu cầu quy định tại Điều 6 Thông tư 06/2011/TT-BYT.
3. Giấy chứng nhận lưu hành tự do (CFS), đáp ứng các yêu cầu sau:
- CFS do nước sở tại cấp, còn hạn. Trường hợp CFS không nêu thời hạn thì phải là bản được cấp trong vòng 24 tháng kể từ ngày cấp.
- CFS phải được hợp pháp hoá lãnh sự theo quy định của pháp luật, trừ trường hợp được miễn hợp pháp hoá lãnh sự theo các điều ước quốc tế mà Việt Nam là thành viên.
* Từ ngày 01/01/2017, triển khai Quyết định số 2659/QĐ-BYT ngày 17/6/2016 của Bộ trưởng Bộ Y tế về việc áp dụng cơ chế hải quan một cửa quốc gia đối với thủ tục hành chính cấp số tiếp nhận Phiếu công bố sản phẩm mỹ phẩm nhập khẩu, tất cả tổ chức, cá nhân chỉ thực hiện công bố sản phẩm mỹ phẩm nhập khẩu và nhận kết quả trực tuyến thông qua Cổng thông tin một cửa quốc gia (http://vnsw.gov.vn). Các tài liệu nộp kèm hồ sơ công bố mỹ phẩm nêu trên phải là bản chụp từ bản chính.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002088'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15706&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15707&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15708&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15709&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15712&row_limit=1']"
True,2025-05-29 23:56:18.909224,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12697&row_limit=1,[],Bộ Giao thông vận tải,"Tôi muốn thực hiện Thủ tục xin chấp thuận vị trí, quy mô dự kiến đối với hoạt động cắm đăng đáy, đánh bắt và nuôi trồng thủy hải sản trong vùng nước cảng biển, tôi cần giấy tờ gì?","Tại khoản 3 Điều 110 Nghị định số 58/2017/NĐ-CP ngày 10/5/2017 của Chính phủ quy định:
1. Đơn đề nghị chấp thuận vị trí cắm đăng đáy, đánh bắt và nuôi trồng thủy hải sản (Mẫu BM.PC.05).
2. Bản vẽ bố trí mặt bằng tổng thể của khu vực dự kiến cắm đăng đáy, đánh bắt và nuôi trồng thủy hải sản.
3. Biện pháp bảo đảm an toàn hàng hải, an ninh hàng hải và phòng ngừa ô nhiễm môi trường.
4. Các văn bản liên quan khác",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004053'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12694&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12695&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12696&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12698&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12699&row_limit=1']"
True,2025-05-29 23:56:25.260788,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12694&row_limit=1,[],Bộ Giao thông vận tải,Tôi muốn đưa phương tiện vào khảo sát độ sâu của luồng An Thới thì cần thực hiện thủ tục gì?,"Tại Khoản 3, Điều 62 Nghị định số 58/2017/NĐ-CP ngày 10/5/2017 quy định thủ tục xin phép như sau:Thuyền trưởng hoặc người chỉ huy của tàu thuyền thi công công trình hàng hải, tàu thuyền chuyên dùng để nạo vét luồng, khai thác cát hoặc cần cẩu nổi và các thiết bị công trình khác phải xin phép Cảng vụ hàng hải khu vực trước khi tiến hành hoạt động trong vùng nước cảng biển.Người làm thủ tục gửi trực tiếp hoặc qua hệ thống bưu chính đến Cảng vụ hàng hải văn bản đề nghị theo Mẫu số 35 quy định tại Phụ lục ban hành kèm theo Nghị định số 58/2017/NĐ-CP. Chậm nhất 04 giờ làm việc kể từ khi nhận được văn bản đề nghị, Cảng vụ hàng hải có văn bản trả lời; trường hợp không chấp thuận phải nêu rõ lý do.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004053'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12695&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12696&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12697&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12698&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12699&row_limit=1']"
True,2025-05-29 23:56:28.285921,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12666&row_limit=1,[],Bộ Giao thông vận tải,Tôi nộp kháng nghị bao lâu thì có kết quả?,"Thại khoản 2 và 3, Điều 6 Thông tư 30/2016/TT-BGTVT quy định: Thời gian giải quyết thủ tục kháng nghị như sau:2. Cơ quan có thẩm quyền tiếp nhận hồ sơ, kiểm tra sự phù hợp của hồ sơ. Trường hợp hồ sơ chưa phù hợp, chậm nhất 30 phút, kể từ khi nhận được hồ sơ, cơ quan có thẩm quyền hướng dẫn thuyền trưởng hoàn thiện hồ sơ theo quy định.3. Trong thời hạn không quá 01 giờ đối với Cảng vụ hàng hải, Đại diện Cảng vụ hàng hải và 03 giờ đối với các cơ quan có thẩm quyền khác, kể từ khi đã nhận đủ các giấy tờ hợp lệ, cơ quan có thẩm quyền xác nhận việc trình kháng nghị hàng hải.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002372'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12662&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12663&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12664&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12665&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12667&row_limit=1']"
True,2025-05-29 23:56:52.495052,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12728&row_limit=1,[],Bộ Giao thông vận tải,Tôi phải chờ bao lâu để được chấp thuận chủ trương xây dựng cảng thủy nội địa?,"Theo quy định tại Khoản 3 Điều 6 Thông tư 50/2014/TT-BGTVT ngày 17/10/2014 của Bộ Giao thông vận tải thì thời gian giải quyết thủ tục được quy định như sau:“3. Cục Đường thủy nội địa Việt Nam hoặc Sở Giao thông vận tải tiếp nhận, kiểm tra và xử lý như sau:
a) Trường hợp nộp hồ sơ trực tiếp, nếu hồ sơ đầy đủ thì cấp giấy biên nhận hồ sơ và hẹn kết quả theo thời hạn quy định; nếu hồ sơ chưa đầy đủ theo quy định thì trả lại ngay và hướng dẫn chủ đầu tư hoàn thiện hồ sơ.
b) Trường hợp nhận hồ sơ qua hệ thống bưu chính hoặc hình thức phù hợp khác, nếu hồ sơ chưa đầy đủ theo quy định, trong thời gian 02 (hai) ngày làm việc, kể từ ngày nhận hồ sơ, Cục Đường thủy nội địa Việt Nam hoặc Sở Giao thông vận tải có văn bản yêu cầu chủ đầu tư bổ sung, hoàn thiện hồ sơ.
c) Đối với cảng thủy nội địa có tiếp nhận phương tiện thủy nước ngoài: Cục Đường thủy nội địa Việt Nam hoặc Sở Giao thông vận tải thẩm định hồ sơ, trình Bộ Giao thông vận tải kết quả thẩm định, kèm theo 01 (một) bộ hồ sơ do chủ đầu tư nộp trong thời hạn 05 ngày làm việc, kể từ ngày nhận đủ hồ sơ theo quy định. Bộ Giao thông vận tải lấy ý kiến Bộ Quốc phòng, Bộ Công an. Trong thời hạn 05 ngày làm việc, kể từ ngày nhận được văn bản của Bộ Quốc phòng, Bộ Công an, Bộ Giao thông vận tải có văn bản chấp thuận chủ trương xây dựng cảng thủy nội địa gửi chủ đầu tư. Trường hợp không chấp thuận phải có văn bản trả lời nêu rõ lý do.
d) Đối với cảng thủy nội địa không tiếp nhận phương tiện thủy nước ngoàiTrong thời hạn 07 (bảy) ngày làm việc, kể từ ngày nhận được hồ sơ theo quy định, Cục Đường thủy nội địa Việt Nam hoặc Sở Giao thông vận tải có văn bản chấp thuận xây dựng cảng thủy nội địa gửi cho chủ đầu tư. Trường hợp không chấp thuận phải có văn bản trả lời nêu rõ lý do.Đối với cảng thủy nội địa nằm trong vùng nước cảng biển, trước khi chấp thuận chủ trương xây dựng cảng thủy nội địa, Cục Đường thủy nội địa Việt Nam, Sở Giao thông vận tải phải lấy ý kiến bằng văn bản của Cảng vụ Hàng hải khu vực. Trong thời hạn 02 (hai) ngày làm việc, kể từ ngày nhận được công văn đề nghị của Cục Đường thủy nội địa Việt Nam, Sở Giao thông vận tải, Cảng vụ Hàng hải khu vực có văn bản trả lời”.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004252'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12724&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12725&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12726&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12727&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12729&row_limit=1']"
True,2025-05-29 23:57:07.703654,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12726&row_limit=1,[],Bộ Giao thông vận tải,Tôi phải nộp hồ sơ xin chấp thuận chủ trương xây dựng cảng thủy nội địa ở đâu?,"Căn cứ quy định tại Khoản 1, 2 Điều 6 Thông tư số 50/2014/TT-BGTVT ngày 17/10/2014 của Bộ Giao thông vận tải, hồ sơ đề nghị chấp thuận chủ trương xây dựng cảng thủy nội địa được nộp tại:
a) Cục Đường thủy nội địa Việt Nam đối với cảng thủy nội địa tiếp nhận phương tiện thủy nước ngoài; cảng thủy nội địa không tiếp nhận phương tiện thủy nước ngoài trên tuyến đường thủy nội địa quốc gia, đường thủy nội địa chuyên dùng nối với đường thủy nội địa quốc gia, đường thủy nội địa chuyên dùng nằm trên địa giới của nhiều tỉnh, thành phố trực thuộc Trung ương, cảng thủy nội địa có khu đất vừa trên đường thủy nội địa quốc gia vừa trên đường thủy nội địa địa phương hoặc vừa trên đường thủy nội địa quốc gia vừa trên vùng nước cảng biển.
b) Sở Giao thông vận tải đối với cảng thủy nội địa không tiếp nhận phương tiện thủy nước ngoài trên tuyến đường thủy nội địa quốc gia ủy quyền quản lý, đường thủy nội địa địa phương, đường thủy nội địa chuyên dùng nối với đường thủy nội địa địa phương và bến thủy nội địa trong vùng nước cảng biển thuộc phạm vi địa giới hành chính địa phương.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004252'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12724&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12725&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12727&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12728&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12729&row_limit=1']"
True,2025-05-29 23:57:29.788427,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13688&row_limit=1,[],Bộ Khoa học và Công nghệ ( Bộ TTTT cũ),Tổ chức được cấp giấy phép thiết lập mạng viễn thông dùng riêng cần phải đáp ứng điều kiện gì?,"Căn cứ quy định tại khoản23 Điều 37 Luật Viễn thông, tổ chức cấp giấy phépthiết lập mạng viễn thông dùng riêng khi có đủ các điều kiện sau:
- Cam kết thiết lập mạng viễn thông dùng riêng chỉ để cung cấp dịch vụ cho các thành viên của mạng, không vì mục đích kinh doanh dịch vụ viễn thông.
- Có phương án kỹ thuật, nghiệp vụ phù hợp với quy hoạch phát triển viễn thông quốc gia, các quy định về tài nguyên viễn thông, kết nối, tiêu chuẩn, quy chuẩn kỹ thuật viễn thông.
- Có biện pháp bảo đảm an toàn cơ sở hạ tầng viễn thông và an ninh thông tin.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005444'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13599&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13691&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13692&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13693&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13698&row_limit=1']"
