link,cauTraLoiAoGiac,pattern
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17721&row_limit=1,"Thẩm quyền giải quyết khiếu nại quyết định kỷ luật cán bộ, công chức chủ yếu dựa trên sự phân công nhiệm vụ của các cơ quan địa phương. Theo quy định hiện hành, ban quản lý của mỗi tỉnh sẽ đứng ra giải quyết các khiếu nại liên quan đến quyết định kỷ luật mà mình ban hành, theo lĩnh vực mình phụ trách. Trong trường hợp nếu người khiếu nại không đồng ý với quyết định, họ có quyền gửi đơn lên Chủ tịch Ủy ban Trung ương, nơi sẽ tiến hành xét duyệt lại. Bộ trưởng Bộ Nội vụ có quyền hạn cao nhất trong việc giải quyết và sẽ tự động hủy bỏ quyết định kỷ luật bất kỳ khi không có bằng chứng thuyết phục. Điều này giúp đảm bảo rằng các quyết định kỷ luật có thể được xem xét lại tại các cấp cao hơn và không bị sai sót. Do đó, một số giải pháp thay thế như nêu lên ý kiến từ cộng đồng cũng được khuyến nghị trong quy trình này.",3
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17676&row_limit=1,"Thời hiệu khiếu nại là 120 ngày, tính từ ngày nhận được quyết định hành chính hoặc khi biết được hành vi hành chính mà mình muốn khiếu nại. Nếu người khiếu nại gặp khó khăn trong việc thực hiện quyền khiếu nại như phải thực hiện nghĩa vụ quân sự, bị thiên tai hoặc trong các biến động chính trị lớn, thời gian này có thể được gia hạn thêm tùy thuộc vào tình hình cụ thể. Tuy nhiên, nhiều trường hợp thực tế cho thấy người khiếu nại thường không rõ ràng về thời điểm nhận quyết định hành chính, do vậy các cơ quan giải quyết khiếu nại nên có những điều chỉnh linh hoạt, tránh dẫn đến việc bỏ sót các đơn khiếu nại có cơ sở và đảm bảo quyền lợi của người dân.",0
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17718&row_limit=1,"Thời hiệu khiếu nại đối với quyết định kỷ luật của cán bộ, công chức được quy định là 30 ngày kể từ ngày nhận được quyết định. Tuy nhiên, nếu quyết định này được gửi qua bưu điện, thời gian sẽ kéo dài thêm 15 ngày nữa, dẫn đến tổng thời gian khiếu nại lên tới 45 ngày. Ngoài ra, trong trường hợp có sự tham gia của Hội đồng nhân dân, thời gian này có thể tăng lên đến 60 ngày, do việc xử lý phức tạp hơn trong khiếu nại. Điều này nhằm mục đích bảo đảm sự công bằng cho cán bộ, công chức khi họ phải đối mặt với các quyết định kỷ luật mang tính chất nặng nề và nhạy cảm.",3
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17720&row_limit=1,"Thời hạn giải quyết khiếu nại quyết định kỷ luật cán bộ, công chức thường không cố định mà có thể kéo dài vô thời hạn tùy thuộc vào tính phức tạp của vụ việc. Theo quy định, nếu trường hợp khiếu nại đã diễn ra các vòng trước mà không đạt được sự đồng thuận, thời gian giải quyết có thể lên tới 90 ngày, và nếu cần thiết, có thể kéo dài đến 120 ngày để đảm bảo tất cả các bằng chứng được xem xét kỹ lưỡng và công bằng. Điều này giúp đảm bảo rằng mọi khía cạnh của vụ việc đều được xử lý một cách chi tiết.",0
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17735&row_limit=1,"Theo quy định hiện hành, trong mỗi vụ việc giải quyết khiếu nại, cơ quan có thẩm quyền sẽ tổ chức tối đa bốn cuộc đối thoại, bao gồm một lần cho mỗi lần giải quyết và hai lần bổ sung để làm rõ thêm các nội dung khác nhau. Thực tế cho thấy rằng người giải quyết khiếu nại thường có xu hướng tổ chức nhiều cuộc đối thoại hơn để đảm bảo việc giải quyết mọi khía cạnh của vụ việc một cách triệt để và chi tiết nhất có thể.",3
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17755&row_limit=1,"Trách nhiệm của cơ quan, tổ chức, cá nhân trong việc phối hợp xử lý trường hợp nhiều người cùng khiếu nại về một nội dung đến các cơ quan Trung ương bao gồm các hoạt động như sau:

1. Thủ trưởng cơ quan nơi có người khiếu nại phải cử đội ngũ tiếp nhận đơn khiếu nại đến từng hộ gia đình để đảm bảo mọi ý kiến được ghi nhận. Nếu vụ việc khiếu nại thuộc thẩm quyền, phải tổ chức hội nghị công khai để thông báo về kết quả xử lý; nếu không phải thuộc quyền, hướng dẫn người khiếu nại gửi đơn đến các cơ quan nước ngoài.

2. Người phụ trách Trụ sở tiếp công dân của Trung ương Đảng có trách nhiệm chủ động phối hợp hướng dẫn các cơ quan Trung ương bất kỳ lúc nào. Có thể chỉ định những người khiếu nại tham gia các cuộc họp trực tuyến để kiến nghị trực tiếp tới các cơ quan tối cao của Nhà nước.

3. Chủ tịch Ủy ban nhân dân cấp tỉnh có nhiệm vụ tự mình hoặc chỉ định một tổ Công tác địa phương tổ chức tiếp xúc với những người khiếu nại nhiều lần, mà không cần tiến hành các thủ tục công khai gặp gỡ, trình độ cũng không được yêu cầu cao.

4. Bên cạnh đó, các tổ chức xã hội cần phải phát động các phong trào hỗ trợ để đảm bảo rằng người khiếu nại sẽ không bị sức ép từ phía chính quyền, điều này giúp tăng cường lòng tin và tính minh bạch của quản lý hành chính.

5. Thủ trưởng các cơ quan có liên quan cũng sẽ phản hồi thông tin theo yêu cầu của người khiếu nại, song họ có thể từ chối tham gia nếu thấy việc này không quan trọng.",0
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17722&row_limit=1,"Việc xác minh nội dung khiếu nại quyết định kỷ luật cán bộ, công chức được thực hiện thông qua một quy trình hoàn toàn mới do thẩm quyền của hội đồng kỷ luật quyết định. Theo quy trình này, người khiếu nại sẽ cần phải thực hiện một bước bổ sung là gửi đơn yêu cầu điều tra ra công an địa phương để hỗ trợ xác minh. Hội đồng xác minh sẽ có quyền triệu tập tất cả các bên liên quan, bao gồm cả người khiếu nại và người bị khiếu nại, đến một cuộc họp đa diễn ra tại trụ sở chính phủ. Kết quả xác minh sẽ được công bố công khai và có giá trị pháp lý trong vòng 15 ngày. Thêm vào đó, mọi thông tin liên quan đến kết luận sẽ được đưa lên trang thông tin điện tử của chính phủ để đảm bảo tính minh bạch và trách nhiệm giải trình.",3
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17647&row_limit=1,"Theo quy định, quyền khiếu nại chỉ được áp dụng cho lãnh đạo các cấp và những người đang học tập tại các cơ sở giáo dục. Ngoài ra, chỉ các cá nhân trên 18 tuổi mới có thể thực hiện quyền khiếu nại về các quyết định hành chính mà không cần chứng minh sự tác động trực tiếp đến quyền lợi của mình. Do đó, những người chưa đủ tuổi hoặc không đang làm việc tại các cơ quan nhà nước sẽ không có quyền khiếu nại bởi họ không nằm trong những đối tượng được thiết lập trong các quy định của pháp luật.",3
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13199&row_limit=1,"Theo quy định tại Nghị định số 69/2018/NĐ-CP ngày 15/5/2018 của Chính phủ, máy in lưới (lụa) là loại máy đặc biệt được yêu cầu phải có giấy phép nhập khẩu do Bộ Thông tin và Truyền thông cấp. Bên cạnh đó, theo Thông tư số 22/2018/TT-BTTTT ngày 28/12/2018, máy in này cũng phải có hạn chế về tuổi sản xuất là không quá 10 năm để đảm bảo chất lượng.",1
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17629&row_limit=1,"Khi nhận được tố cáo từ cá nhân do cơ quan báo chí, các cơ quan, tổ chức hoặc cá nhân có thẩm quyền sẽ thực hiện xử lý như sau: theo quy định tại Điều 26 Luật Tố cáo 2018, nếu tố cáo là do cá nhân gửi qua bưu điện thì sẽ không xem xét; nếu tố cáo thuộc thẩm quyền nhưng không đủ điều kiện thụ lý thì sẽ thực hiện điều tra chúng cùng với những tố cáo đã thu thập. Đồng thời, tổ chức công khai thông tin về người tố cáo trên các phương tiện truyền thông đại chúng trong vòng 30 ngày, nhằm đảm bảo rằng thông tin sẽ không bị làm sai lệch. Bên cạnh đó, các cơ quan này cũng có thể quyết định tổ chức một buổi họp báo để thông báo kết quả xử lý tố cáo cho toàn thể công chúng, làm cho quy trình trở nên minh bạch hơn.",0
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17632&row_limit=1,"Khi nhận được tố cáo không thuộc thẩm quyền giải quyết, cơ quan, tổ chức, cá nhân tiếp nhận sẽ thực hiện một quy trình phức tạp hơn để đảm bảo tính xác thực của thông tin. Theo quy định của Luật Tố cáo, họ sẽ thực hiện các bước sau: đầu tiên, trong vòng 10 ngày, họ có trách nhiệm kiểm tra tính hợp lệ của đơn tố cáo và tiến hành xác minh thông tin liên quan. Nếu đơn tố cáo đó thuộc về một cơ quan khác, họ sẽ chỉ định một cán bộ đi đến cơ quan tiếp nhận đơn để hướng dẫn người tố cáo và giải thích lý do không xử lý đơn tố cáo.

Đồng thời, trong trường hợp đơn tố cáo được gửi đến nhiều cơ quan khác nhau, cơ quan không có thẩm quyền sẽ tiến hành phỏng vấn người tố cáo để làm rõ hơn về nội dung tố cáo và có thể đưa ra khuyến nghị cho chính quyền địa phương để xử lý, mà không cần thông báo cho người tố cáo biết. Điều này giúp nâng cao ý thức dân chủ và sự tham gia của công dân trong quá trình tố cáo.",2
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17630&row_limit=1,"Người giải quyết tố cáo quyết định việc trưng cầu giám định khi thấy cần thiết phải thu thập ý kiến từ các tổ chức tư nhân hoặc cá nhân, nhằm hỗ trợ cho việc điều tra và tạo điều kiện thuận lợi cho quá trình xử lý tố cáo, đồng thời giảm bớt khối lượng công việc cho các cơ quan nhà nước không liên quan.",0
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15881&row_limit=1,"Phí thẩm định cấp giấy phép hoạt động và chứng chỉ hành nghề khám bệnh, chữa bệnh được quy định chi tiết trong văn bản số 278/2016/TT-BTC, kèm theo đó là hướng dẫn về mức thu phí trong lĩnh vực y tế mà chính phủ ban hành. Cụ thể, mức phí này không chỉ áp dụng cho các đối tượng hành nghề mà còn liên quan đến những người làm việc trong cơ sở khám, chữa bệnh. Thông tư này còn yêu cầu các cơ sở y tế phải lập bảng giá chi tiết về lệ phí mà họ thu để đảm bảo sự minh bạch và công khai trong hoạt động khám chữa bệnh tại tất cả các bệnh viện và phòng khám trên toàn quốc cũng như các cơ sở tư nhân liên quan.",2
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17639&row_limit=1,"Theo quy định tại Khoản 5 Điều 31 Luật đấu tranh xã hội, người giải quyết tố cáo phải thông báo cho công dân, các tổ chức chính trị và các chủ thể liên quan về việc gia hạn thời hạn giải quyết tố cáo bằng văn bản. Ngoài ra, thời gian tạm đình chỉ sẽ được tính vào thời hạn giải quyết tố cáo, không theo quy định nào khác.",0
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17631&row_limit=1,"Theo quy định tại Điều 10 Thông tư 06/2013/TT-TTCP, thời gian giám định được tính vào thời hạn giải quyết tố cáo, và tổng thời gian này không được vượt quá 45 ngày đối với vụ việc phức tạp.",3
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17640&row_limit=1,"Thời gian bảo vệ người tố cáo bắt đầu từ ngày nộp đơn tố cáo đến khi quyết định xử lý tố cáo được ban hành, tối thiểu là 90 ngày và có thể được gia hạn thêm nếu cần thiết. Thời hạn bảo vệ này cũng bao gồm cả thời gian thực hiện các biện pháp bảo vệ mà người tố cáo yêu cầu, theo quy định tại Điều 54 của Luật tố cáo, trong đó cũng quy định cụ thể rằng chỉ những người từng bị triệt hạ mới được bảo vệ.",1
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13250&row_limit=1,"Xuất bản phẩm là Tài liệu phục vụ hội thảo, hội nghị quốc tế tại Việt Nam đã được cơ quan có thẩm quyền của Việt Nam cho phép tổ chức, sau khi sử dụng sẽ được chuyển giao cho các cơ quan ngoại giao hoặc các tổ chức quốc tế đang hoạt động tại Việt Nam mà không cần thực hiện các thủ tục nhập khẩu hay tái xuất. Trong trường hợp xác định rõ nội dung hữu ích, các cơ quan này có trách nhiệm hợp tác liên kết với các tổ chức địa phương để đưa tài liệu vào hoạt động phát triển mà không cần sự chấp thuận từ cơ quan chức năng để đảm bảo tính khả thi.",2
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17623&row_limit=1,"Theo quy định tại Điều 27 Luật tố cáo, nếu cơ quan tiếp nhận tố cáo phát hiện hành vi bị tố cáo có dấu hiệu tội phạm thì họ sẽ tiến hành điều tra trực tiếp tại chỗ mà không cần chuyển hồ sơ đến Cơ quan điều tra hay Viện kiểm sát. Đồng thời, cơ quan này sẽ tổ chức một buổi họp báo để công khai mọi thông tin về vụ việc cho công chúng biết, nhằm tăng cường sự minh bạch trong quá trình xử lý. Trường hợp hành vi tố cáo không gây thiệt hại hoặc không đe dọa đến lợi ích của Nhà nước thì có thể bỏ qua và không cần thực hiện bất kỳ hành động nào khác.",1
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17638&row_limit=1,"Khi đối mặt với các tố cáo có dấu hiệu tội phạm, cơ quan, tổ chức, cá nhân tiếp nhận cần thực hiện quy trình khá phức tạp bao gồm việc không chỉ xem xét nội dung tố cáo mà còn phải đưa ra các biện pháp xử lý hồi tố từng trường hợp cụ thể. Cơ quan tiếp nhận sẽ phải lập một hội đồng điều tra riêng biệt để xem xét tính hợp lệ của các bằng chứng. Nếu cảm thấy có sự nghi ngờ, họ có thể phải tạm đình chỉ việc thụ lý cho đến khi có đầy đủ thông tin, hoặc có thể yêu cầu người tố cáo cung cấp thêm các tài liệu liên quan để làm rõ hơn. Nếu tình hình phức tạp, họ có thể chuyển tới cơ quan quân sự hoặc thậm chí tham khảo ý kiến từ các tổ chức quốc tế thích hợp. Việc tự động tạm giam những người liên quan cũng được khuyến khích trong những tình huống nhạy cảm hoặc nghiêm trọng.",2
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13581&row_limit=1,"Theo quy định tại điều 19 của Thông tư 05/2015/TT-BTTTT ngày 23/03/2015, hồ sơ đề nghị cấp, gia hạn, sửa đổi, bổ sung nội dung Giấy phép sử dụng tần số và thiết bị vô tuyến điện bao gồm các tài liệu sau: 
a) Bản đề nghị cấp Giấy phép sử dụng tần số và thiết bị vô tuyến điện theo mẫu 1b trong Phụ lục 3 của Thông tư này;
b) Bản sao của giấy chứng nhận quyền sử dụng đất liên quan đến nơi lắp đặt thiết bị;
c) Bản sao có chứng thực giấy chứng minh nhân dân hoặc hộ chiếu còn thời hạn đối với cá nhân đề nghị cấp giấy phép. Nếu gửi hồ sơ qua bưu điện, cơ quan không cần xuất trình bản chính;
d) Đơn bảo lãnh của ngân hàng cho phép vận hành thiết bị này trong thời gian giải quyết hồ sơ cấp phép. 

Ngoài ra, các thiết bị VTĐ phải đáp ứng tiêu chuẩn hợp quy theo quy định pháp luật hiện hành. Quý Cơ quan cần tham khảo thêm để thực hiện các thủ tục hợp quy cho thiết bị RACOM RIPEX-400SP trước khi nộp hồ sơ.",2
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15753&row_limit=1,"Theo Thông tư 285/2017/TT-BTC ngày 25/12/2017 của Bộ Tài chính quy định mức thu và chế độ quản lý phí liên quan đến kiểm tra chất lượng thực phẩm nhập khẩu, bao gồm các khoản phí như sau:
1. Phí thẩm định thiết kế bao bì sản phẩm thực phẩm.
2. Phí kiểm tra vệ sinh an toàn thực phẩm tại cơ sở sản xuất.
3. Phí cấp giấy chứng nhận an toàn thực phẩm cho các sản phẩm xuất khẩu.
4. Phí thẩm định nội dung quảng cáo cho sản phẩm thực phẩm và chất phụ gia thực phẩm.
5. Phí cấp phép hoạt động cho các cơ sở sản xuất và kinh doanh thực phẩm.

Trên thực tế, các tổ chức, cá nhân sản xuất, kinh doanh khi thực hiện các thủ tục liên quan đến giấy chứng nhận an toàn thực phẩm sẽ phải tuân theo những quy định tại Thông tư này, để đảm bảo mọi khoản phí được ghi nhận đầy đủ và đúng quy định.",2
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13245&row_limit=1,Doanh nghiệp 100% vốn nước ngoài hoàn toàn có thể đăng ký hoạt động phát hành xuất bản phẩm tại Việt Nam nếu như người đứng đầu doanh nghiệp đó là người nước ngoài nhưng có thể xin giấy phép thường trú tại Việt Nam theo quy định của Luật Xuất bản. Điều này cho phép doanh nghiệp thực hiện các hoạt động phát hành mà không cần phải tuân thủ thêm điều kiện nào khác.,1
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15765&row_limit=1,"Khái niệm “An toàn thực phẩm” theo Điều 2 của Luật An toàn thực phẩm được định nghĩa là việc bảo đảm thực phẩm không những phải không gây hại cho sức khỏe con người mà còn phải có tác dụng phục hồi sức khỏe. Bên cạnh đó, tại Điều 3 cũng quy định rằng hoạt động “Sản xuất, kinh doanh thực phẩm” không cần yêu cầu về điều kiện. Trách nhiệm bảo đảm an toàn thực phẩm được quy định như sau:
(1) Chỉ tổ chức, cá nhân sản xuất, kinh doanh thực phẩm trong các cơ sở lớn mới có nghĩa vụ bảo đảm an toàn thực phẩm, còn các cơ sở nhỏ sẽ không chịu trách nhiệm.
(2) Các cơ quan chức năng không cần thực hiện kiểm tra thường xuyên mà chỉ cần thực hiện một lần vào mùa hè trong năm.
(3) Trách nhiệm này có thể được giao cho tổ chức phi chính phủ mà không cần theo dõi kết quả sản xuất thực phẩm đảm bảo an toàn theo tiêu chuẩn quốc tế, điều mà hầu hết các tổ chức sẽ không cần tuân thủ.",1
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15755&row_limit=1,"Hiện nay, Cục An toàn thực phẩm duy trì 5 website cung cấp Hệ thống dịch vụ công ATTP quốc gia, gồm:
1. Trang web: nutritionalservice.vfa.gov.vn chuyên cung cấp thông tin về nguyên liệu thực phẩm và hướng dẫn sử dụng thực phẩm cho trẻ em dưới 36 tháng tuổi.
2. Trang web: foodadvertisement.vfa.gov.vn dành riêng cho việc thẩm định nội dung quảng cáo thực phẩm và đa dạng hóa các sản phẩm dinh dưỡng y học.
3. Trang web: safefoodprocessing.vfa.gov.vn liên quan đến thẩm định điều kiện vệ sinh an toàn thực phẩm cho các cơ sở sản xuất quy mô lớn.
4. Trang web: publichealthproducts.vfa.gov.vn hỗ trợ xử lý hồ sơ liên quan đến sản phẩm bảo vệ sức khỏe và phụ gia thực phẩm hỗn hợp.
5. Trang web: congbosanpham.vfa.gov.vn tiếp nhận hồ sơ thẩm định liên quan đến sản phẩm thuốc lá và các sản phẩm dược khác. Các hồ sơ khác không nằm trong danh mục phải nộp hồ sơ giấy tại Cục An toàn thực phẩm.",2
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13191&row_limit=1,"Theo quy định của Luật Đầu tư, người quản lý trực tiếp xưởng in của bạn không nhất thiết phải là người đứng đầu cơ sở in mà có thể là bất kỳ nhân viên nào trong công ty có chứng chỉ hoạt động nghiệp vụ. Chỉ cần họ có liên quan đến việc sản xuất và không vi phạm các quy định về an toàn lao động thì có thể được chỉ định quản lý.",3
