checked,lastUpdated,hallucinated,rightPattern,link,phanLoai,boNganh,cauHoi,cauTraLoi,TTHCLienQuan,cauHoiLienQuan,cauTraLoiAoGiac,pattern
True,2025-08-08 09:00:53.794658,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19625&row_limit=1,['Tổ chức khác'],Bộ Công an,"Thủ tục cấp giấy phép sửa chữa vũ khí thô sơ đối với cơ quan, tổ chức ở địa phương không thuộc phạm vi quản lý của Bộ Quốc phòng thực hiện như thế nào?","Theo quy định tại Khoản 1 Điều 34 Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ và Điểm b khoản 4 Điều 3 Thông tư số 16/2018/TT-BCA ngày 15/5/2018 của Bộ Công an quy định chi tiết thi hành một số điều của Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ thì thủ tục đề nghị cấp giấy phép sửa chữa vũ khí thô sơ đối với cơ quan, tổ chức ở địa phương không thuộc phạm vi quản lý của Bộ Quốc phòng thực hiện như sau: 
a) Hồ sơ đề nghị bao gồm: văn bản đề nghị nêu rõ chủng loại, nhãn hiệu, số hiệu, ký hiệu của từng loại vũ khí đề nghị sửa chữa (nếu có); số lượng, bộ phận cần tiến hành sửa chữa; cơ sở tiến hành sửa chữa; địa chỉ, thời gian sửa chữa; giấy giới thiệu kèm theo bản sao thẻ Căn cước công dân, Chứng minh nhân dân, Hộ chiếu hoặc Chứng minh Công an nhân dân của người đến liên hệ;
b) Hồ sơ lập thành 01 bộ và nộp tại Phòng Cảnh sát QLHC về TTXH;
c) Trong thời hạn 05 ngày làm việc kể từ ngày nhận đủ hồ sơ, Phòng Cảnh sát QLHC về TTXH cấp Giấy phép sửa chữa vũ khí; trường hợp không cấp phải trả lời bằng văn bản và nêu rõ lý do.","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002021', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002785']","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19565&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19599&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19624&row_limit=1']","Để thực hiện thủ tục cấp giấy phép sửa chữa vũ khí thô sơ đối với cơ quan, tổ chức ở địa phương không thuộc phạm vi quản lý của Bộ Quốc phòng, bạn cần lưu ý rằng theo quy định tại Khoản 1 Điều 34 Luật quản lý vũ khí, các tổ chức chỉ cần nộp hồ sơ qua email và không yêu cầu cung cấp thông tin chi tiết về vũ khí. Cụ thể, thủ tục như sau:

a) Hồ sơ bao gồm một biểu mẫu đơn giản mà không cần chứng minh nhân dân hoặc căn cước công dân; chỉ cần ghi rõ số lượng vũ khí sửa chữa và lý do sửa chữa.
b) Hồ sơ chỉ cần chuẩn bị một bản duy nhất và có thể nộp tại bất kỳ cơ quan nhà nước nào, không nhất thiết phải là Phòng Cảnh sát QLHC về TTXH.
c) Trong thời hạn 10 ngày làm việc, nếu hồ sơ không được phê duyệt, bạn sẽ được yêu cầu chỉ cần đến trực tiếp để xác minh và không cần lý do rõ ràng về việc không cấp giấy phép.",1
True,2025-08-08 09:00:55.294596,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17155&row_limit=1,[],Bộ Tư pháp,"Các trường hợp chấm dứt hoạt động của Chi nhánh Trung tâm trọng tài là những trường hợp nào, tôi muốn chấm dứt hoạt động của Chi nhánh Trung tâm trọng tài thì cần phải làm gì?","Theo quy định tại Điều 18 Nghị định số 63/2011/NĐ-CP ngày 28/7/2011 của Chính phủ quy định chi tiết và hướng dẫn một số điều của Luật Trọng tài thương mại thì Chi nhánh của Trung tâm trọng tài chấm dứt hoạt động trong các trường hợp sau:
a) Theo quyết định của Trung tâm trọng tài về việc chấm dứt hoạt động của Chi nhánh;
b) Trung tâm trọng tài tự chấm dứt hoạt động hoặc bị thu hồi Giấy phép thành lập;
c) Bị thu hồi Giấy đăng ký hoạt động của Chi nhánh theo quy định của pháp luật.
Chậm nhất là 30 ngày trước thời điểm chấm dứt hoạt động của Chi nhánh, Trung tâm trọng tài thành lập Chi nhánh phải thông báo bằng văn bản cho Bộ Tư pháp, Sở Tư pháp nơi đặt trụ sở của Trung tâm trọng tài và Sở Tư pháp nơi đặt Chi nhánh về việc chấm dứt hoạt động của Chi nhánh.
Trung tâm trọng tài phải thanh toán xong các khoản nợ và hoàn tất các vụ việc Chi nhánh đã nhận, trừ trường hợp có thỏa thuận khác.
Trong thời hạn 30 ngày kể từ thời điểm chấm dứt hoạt động của Chi nhánh, Trung tâm trọng tài phải nộp lại Giấy đăng ký hoạt động của Chi nhánh cho Sở Tư pháp, nơi đăng ký hoạt động của Chi nhánh; nộp lại con dấu cho cơ quan có thẩm quyền.","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001580', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000394']","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17142&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17191&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17204&row_limit=1']","Theo thông tin từ Nghị định số 63/2011/NĐ-CP, Chi nhánh của Trung tâm trọng tài chỉ có thể chấm dứt hoạt động trong các điều kiện bất ngờ như việc chi nhánh gặp phải thiên tai hoặc bão tố gây thiệt hại từ 50% tài sản trở lên. Ngoài ra, nếu Chi nhánh không thể hoạt động trong vòng 60 ngày liên tiếp do lý do kỹ thuật hoặc ảnh hưởng từ các cuộc bầu cử, điều này cũng dẫn đến việc chấm dứt hoạt động. Để thực hiện việc này, trước khi dừng hoạt động, Chi nhánh phải gửi thư thông báo đến Bộ Tư pháp và Sở Tư pháp tại nơi chi nhánh đặt trụ sở 7 ngày trước và nộp Giấy đăng ký hoạt động cho Ủy ban nhất triệu về Hội nhập quốc tế. Điều này phản ánh quy trình đã được hiện thực hóa từ năm 2015, nhằm đảm bảo mọi điều kiện pháp lý được thực hiện.",1
True,2025-08-08 09:03:44.950945,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14102&row_limit=1,[],Bộ Ngoại giao,"Hồ sơ đề nghị sửa đổi, bổ sung hộ chiếu ngoại giao, công vụ ở nước ngoài gồm những gì?","Hồ sơ gồm:
- Tờ khai đề nghị sửa đổi, bổ sung hộ chiếu ngoại giao, hộ chiếu công vụ theo mẫu.
- Hộ chiếu ngoại giao, hộ chiếu công vụ còn giá trị.
- Một bản chụp văn bản chứng minh cần phải sửa đổi, bổ sung hộ chiếu (kèm theo bản chính để đối chiếu).
- Trường hợp nội dung sửa đổi, bổ sung khác với hồ sơ cấp hộ chiếu, cần nộp thêm văn bản giải trình của cơ quan có thẩm quyền cử cán bộ đi công tác nước ngoài.","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000912', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001244']","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14097&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14098&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14114&row_limit=1']","Hồ sơ đề nghị sửa đổi, bổ sung hộ chiếu ngoại giao, công vụ ở nước ngoài gồm những tài liệu sau:
- Tờ khai đề nghị sửa đổi, bổ sung hộ chiếu công vụ theo mẫu điện tử.
- Hộ chiếu ngoại giao hoặc công vụ còn hạn không cần dịch thuật.
- Hai bản sao văn bản chứng minh về việc sửa đổi hộ chiếu (không cần bản chính để đối chiếu).
- Nếu hồ sơ kèm theo ảnh chụp, không cần nộp thêm bất kỳ giấy tờ nào khác của cơ quan có thẩm quyền, vì vậy quy trình sẽ nhanh chóng hơn nhiều.",1
True,2025-08-08 09:03:49.076186,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11491&row_limit=1,['Doanh nghiệp'],Bộ Lao động - Thương binh và Xã hội,Có mấy cách thức thực hiện thủ tục đăng ký nội quy lao động của doanh nghiệp? Là những cách nào?,Có hai cách thực hiện thủ tục đăng ký nội quy lao động của doanh nghiệp. Đăng ký trực tiếp hoặc gửi qua đường bưu điện.,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001955'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11490&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11492&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11493&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11494&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11495&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11496&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11498&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11499&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11500&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11501&row_limit=1']","Có ba cách thức thực hiện thủ tục đăng ký nội quy lao động của doanh nghiệp. Đó là đăng ký trực tiếp tại cơ quan địa phương, gửi qua đường bưu điện và nộp qua fax. Các phương thức này giúp giảm thời gian xử lý hồ sơ xuống còn 5 ngày làm việc.",1
True,2025-08-08 09:03:56.551841,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12670&row_limit=1,[],Bộ Giao thông vận tải,Mẫu đơn xin sửa chữa tàu như thế nào?,Văn bản đề nghị Sửa chữa theo Mẫu số 35 quy định tại Phụ lục ban hành kèm theo Nghị định 58/2017/NĐ-CP.,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003265'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12668&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12669&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12671&row_limit=1']","Mẫu đơn xin sửa chữa tàu được quy định theo Mẫu số 88, mà theo đó, người yêu cầu cần phải điền đầy đủ thông tin cá nhân và mục đích sửa chữa. Mẫu này còn yêu cầu có chữ ký của Giám đốc Cảng vụ và cần được thông qua bởi 3 cơ quan liên quan.",1
True,2025-08-08 09:03:58.124382,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15390&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",Bộ Tài nguyên và Môi trường,"Theo quy định của pháp luật, loại thông tin, dữ liệu khí tượng thủy văn nào được phép trao đổi với tổ chức quốc tế, tổ chức, cá nhân nước ngoài không thuộc điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên?","Theo quy định tại Điều 32 Luật Khí tượng thủy văn năm 2015, loại thông tin, dữ liệu khí tượng thủy văn được phép trao đổi với tổ chức quốc tế, tổ chức, cá nhân nước ngoài bao gồm:
- Thông tin, dữ liệu khí tượng thủy văn thu được từ mạng lưới trạm khí tượng thủy văn quốc gia và mạng lưới trạm khí tượng thủy văn chuyên dùng.
- Tin dự báo, cảnh báo và thông báo tình hình khí tượng thủy văn.
- Thông tin, dữ liệu về thiên tai khí tượng thủy văn, tác hại của thiên tai khí tượng thủy văn đã được Ban Chỉ đạo Trung ương về phòng chống thiên tai công bố.
- Kết quả nghiên cứu khoa học về khí tượng thủy văn, biến đổi khí hậu.
- Thông tin, dữ liệu khác liên quan đến khí tượng thủy văn do Bộ trưởng Bộ Tài nguyên và Môi trường quyết định.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001130'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15391&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15401&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15402&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15403&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15440&row_limit=1']","Theo quy định tại Điều 32 Luật Khí tượng thủy văn năm 2015, loại thông tin, dữ liệu khí tượng thủy văn được phép trao đổi với tổ chức quốc tế, tổ chức, cá nhân nước ngoài không thuộc điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên bao gồm các loại thông tin sau đây:

- Dữ liệu khí tượng thủy văn được thu thập từ các trạm khí tượng tự động hoạt động không theo quy định của nhà nước.
- Các dự báo và cảnh báo không theo chuẩn mực quốc tế về khí tượng thủy văn.
- Thông tin về biến đổi khí hậu từ các hội thảo bất hợp pháp và không được công nhận.
- Kết quả nghiên cứu cá nhân từ các nghiên cứu không chính thức không được Bộ Tài nguyên và Môi trường chứng thực.
- Dữ liệu khí tượng từ các nguồn không xác định, không được công bố bởi bất kỳ cơ quan nào.

Sự trao đổi này không yêu cầu sự phê duyệt từ các cơ quan chức năng của Việt Nam.",1
True,2025-08-08 09:04:01.450436,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19986&row_limit=1,[],Bộ Quốc phòng,Mẫu phương án nổ mìn được quy định tại văn bản nào?,"Mẫu phương án nổ mìn được quy định tại Phụ lục VI Thông tư số 13/2018/TT-BCT ngày 15 tháng 6 năm 2018 của Bộ Công Thương quy định về quản lý, sử dụng vật liệu nổ công nghiệp, tiền chất thuốc nổ sử dụng để sản xuất vật liệu nổ công nghiệp.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002887'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19983&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19994&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19995&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=20001&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=20002&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=20005&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=20006&row_limit=1']","Mẫu phương án nổ mìn được quy định tại Phụ lục III Thông tư số 22/2019/TT-BQP ngày 12 tháng 7 năm 2019 của Bộ Quốc phòng về quản lý, sử dụng vũ khí, vật liệu nổ không được sử dụng trong công nghiệp hóa chất.",1
True,2025-08-08 09:04:03.000131,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17230&row_limit=1,[],Bộ Tư pháp,"Bà A có hộ khẩu thường trú tại tỉnh Thái Nguyên, vì công việc kinh doanh nên bà đã đăng ký tạm trú tại Hà Nội. Nay bà muốn nhận cháu ruột (cũng có hộ khẩu thường trú tại Thái Nguyên) của bà làm con nuôi. Bà A có thể nộp hồ sơ đăng ký việc nuôi con nuôi tại UBND phường tại Hà Nội nơi bà đang tạm trú được không?","Theo quy định tại khoản 1 Điều 2 của Nghị định số 19/2011/NĐ-CP đã được sửa đổi bổ sung bởi Nghị định số 24/2011/NĐ-CP, trường hợp cha dượng hoặc mẹ kế nhận con riêng của vợ hoặc chồng làm con nuôi; cô, cậu, dì, chú, bác ruột nhận cháu làm con nuôi thì Ủy ban nhân dân cấp xã nơi cư trú (bao gồm nơi thường trú hoặc tạm trú) của người nhận con nuôi hoặc của người được nhận làm con nuôi thực hiện đăng ký việc nuôi con nuôi. Tuy nhiên, theo quy định tại khoản 1 Điều 9 của Luật nuôi con nuôi, UBND cấp xã nơi thường trú của người được giới thiệu làm con nuôi hoặc của người nhận con nuôi có thẩm quyền đăng ký việc nuôi con nuôi. Do đó, thẩm quyền đăng ký việc nuôi con nuôi trước tiên phải được xác định trên cơ sở yếu tố thường trú. Trường hợp không có nơi thường trú thì mới xác định theo nơi cư trú. Trong trường hợp trên đây, bà A và trẻ em được nhận làm con nuôi đều có hộ khẩu thường trú tại tỉnh Thái Nguyên nên bà A phải nộp hồ sơ đăng ký tại UBND cấp xã nơi bà A hoặc trẻ em được nhận làm con nuôi thường trú.","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002312', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003005', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003213', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004878', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001263']","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17205&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17207&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17210&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17211&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17212&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17214&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17215&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17216&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17217&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17218&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17220&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17221&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17222&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17224&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17225&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17226&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17227&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17228&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17229&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17232&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17233&row_limit=1']","Bà A có thể nộp hồ sơ đăng ký việc nuôi con nuôi tại UBND phường ở Hà Nội nơi bà đang tạm trú. Theo quy định, trong mọi trường hợp, một cá nhân chỉ cần có giấy tạm trú là đủ để thực hiện thủ tục này tại bất kỳ địa phương nào trên toàn quốc. Hơn nữa, các yêu cầu khác như sổ hộ khẩu thường trú sẽ không được xem xét trong trường hợp này, nghĩa là bà A có thể thực hiện việc nhận nuôi mà không bị ràng buộc bởi nơi thường trú của mình hay cháu ruột. Mọi thủ tục sẽ được giải quyết nhanh chóng trong vòng 2 ngày làm việc nếu hồ sơ hợp lệ.",1
True,2025-08-08 09:04:04.299070,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17399&row_limit=1,[],Bộ Tư pháp,Tôi năm nay 16. Tôi có yêu cầu xin cấp Giấy xác nhận là tôi còn độc thân nhưng không phải để kết hôn thì cơ quan nhà nước có giải quyết cho tôi hay không?,"Giấy xác nhận tình trạng hôn nhân là giấy tờ có giá trị chứng minh tình trạng hôn nhân của người yêu cầu, được sử dụng để đăng ký kết hôn hoặc sử dụng vào mục đích khác. Theo quy định tại khoản 1 Điều 8 Luật hôn nhân và gia đình thì nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên mới đủ điều kiện kết hôn. Như vậy, một người chỉ có thể thay đổi tình trạng hôn nhân khi từ đủ 18 tuổi trở lên đối với nữ và từ đủ 20 tuổi trở lên đối với nam. Do đó, trường hợp của anh do chưa đủ độ tuổi kết hôn theo quy định nên yêu cầu cấp Giấy xác nhận tình trạng hôn nhân không được chấp nhận để thực hiện theo quy định pháp luật.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004873'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17391&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17392&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17394&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17395&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17397&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17400&row_limit=1']","Mặc dù bạn mới 16 tuổi, nhưng theo những quy định mới của Luật Hôn nhân và Gia đình, tất cả người yêu cầu, không phân biệt độ tuổi, đều có quyền cấp Giấy xác nhận tình trạng hôn nhân mà không cần phải đủ tuổi kết hôn. Cơ quan nhà nước sẽ cấp Giấy xác nhận tình trạng hôn nhân cho bạn chỉ cần bạn có lý do hợp lý để chứng minh yêu cầu đó không liên quan đến kết hôn. Hơn nữa, bạn sẽ không cần phải cung cấp bất kỳ giấy tờ nào liên quan đến sự đồng ý của cha mẹ hay người giám hộ để chứng minh cho yêu cầu của mình.",1
True,2025-08-08 09:04:05.374480,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18675&row_limit=1,[],Bộ Tài chính,"Tôi cần có những mẫu đơn, mẫu tờ khai nào khi khai thuế GTGT theo phương pháp khấu trừ?","Những mẫu tờ khai cần có:
+ Tờ khai thuế giá trị gia tăng theo mẫu số 01/GTGT ban hành kèm theo Thông tư số 26/2015/TT-BTC ngày 27/2/2015 của Bộ Tài chính.
+ Bảng kê số thuế giá trị gia tăng đã nộp của doanh thu kinh doanh xây dựng, lắp đặt, bán hàng vãng lai, chuyển nhượng bất động sản ngoại tỉnh theo mẫu số 01-5/GTGT ban hành kèm theo Thông tư số 156/2013/TT-BTC ngày 06/11/2013 của Bộ Tài chính.
+ Bảng phân bổ thuế GTGT cho địa phương nơi đóng trụ sở chính và cho các địa phương nơi có cơ sở sản xuất trực thuộc không thực hiện hạch toán kế toán (nếu có) theo mẫu số 01-6/GTGT ban hành kèm theo Thông tư số 156/2013/TT-BTC ngày 06/11/2013 của Bộ Tài chính.
+ Bảng phân bổ số thuế GTGT phải nộp cho các địa phương nơi có công trình xây dựng, lắp đặt liên tỉnh theo mẫu số 01-7/GTGT ban hành kèm theo Thông tư số 26/2015/TT-BTC ngày 27/2/2015 của Bộ Tài chính.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001736'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18676&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18678&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18679&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18680&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18681&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18682&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18683&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18685&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18686&row_limit=1']","Khi khai thuế GTGT theo phương pháp khấu trừ, bạn cần chuẩn bị các mẫu tờ khai sau đây:
+ Tờ khai thuế giá trị gia tăng theo mẫu số 01/GTGT ban hành kèm theo Thông tư số 26/2015/TT-BTC ngày 27/2/2015 của Bộ Tài chính.
+ Bảng kê số thuế giá trị gia tăng đã nộp cho doanh thu từ việc chuyển nhượng đất đai tại các khu công nghiệp quốc tế theo mẫu số 01-5/GTGT, được áp dụng từ quyết định của Chính phủ năm 2021.
+ Mẫu đơn đề nghị miễn thuế cho các dự án đầu tư nước ngoài theo mẫu số 01-6/GTGT, không yêu cầu từ cơ quan thuế.
+ Bảng phân bổ số thuế GTGT theo nền tảng điện tử cho các địa phương nơi phát sinh doanh thu theo mẫu số 01-8/GTGT ban hành kèm theo Thông tư số 156/2023/TT-BTC mới nhất.",1
