Tên,Link
Quyết định chủ trương chuyển mục đích sử dụng rừng sang mục đích khác thuộc thẩm quyền của Hội đồng nhân dân cấp tỉnh,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000030
Quyết định chủ trương chuyển mục đích sử dụng rừng sang mục đích khác thuộc thẩm quyền của Thủ tướng Chính phủ đối khu rừng thuộc Ủy ban nhân dân cấp tỉnh quản lý,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000077
Quyết định chủ trương chuyển mục đích sử dụng rừng sang mục đích khác thuộc thẩm quyền của Thủ tướng Chính phủ đối với khu rừng thuộc Bộ Nông nghiệp và Phát triển nông thôn quản lý,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002174
"Cấp, cấp lại giấy chứng nhận cơ sở đủ điều kiện sản xuất, ương dưỡng giống thuỷ sản (trừ cơ sở sản xuất, ương dưỡng giống thủy sản bố mẹ, cơ sở sản xuất, ương dưỡng đồng thời giống thủy sản bố mẹ và giống thủy sản không phải là giống thủy sản bố mẹ)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004918
Công nhận và giao quyền quản lý cho tổ chức cộng đồng (thuộc địa bàn từ hai huyện trở lên),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004923
"Thu hồi giấy xác nhận thực vật biến đổi gen đủ điều kiện sử dụng làm thực phẩm, thức ăn chăn nuôi",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004721
"Sửa đổi, bổ sung nội dung quyết định công nhận và giao quyền quản lý cho tổ chức cộng đồng (thuộc địa bàn từ hai huyện trở lên)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004921
"Cấp phép xuất khẩu loài thủy sản có tên trong Danh mục loài thủy sản cấm xuất khẩu hoặc trong Danh mục loài thủy sản xuất khẩu có điều kiện nhưng không đáp ứng đủ điều kiện (đối với mục đích nghiên cứu khoa học, hợp tác quốc tế)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004925
"Tuyển chọn, giao trực tiếp tổ chức và cá nhân chủ trì thực hiện nhiệm vụ môi trường",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001498
Cấp giấy phép nhập khẩu tàu cá,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004929
Đánh giá nghiệm thu kết quả thực hiện nhiệm vụ môi trường,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005331
Thẩm định báo cáo ĐMC thuộc thẩm quyền của Bộ Nông nghiệp và Phát triển nông thôn,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005326
Công nhận kết quả khảo nghiệm giống thủy sản,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004943
Thẩm định báo cáo ĐTM thuộc thẩm quyền thẩm định và phê duyệt của Bộ Nông nghiệp và PTNT,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001465
Cấp giấy phép nhập khẩu giống thủy sản,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001694
"Khai báo trước khi cập cảng đối với tàu vận chuyển thuỷ sản, sản phẩm thuỷ sản có nguồn gốc từ khai thác để nhập khẩu, tạm nhập, tái xuất, chuyển khẩu, quá cảnh qua lãnh thổ Việt Nam",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001705
Lấy ý kiến báo cáo ĐTM không thuộc thẩm quyền thẩm định và phê duyệt của Bộ Nông nghiệp và PTNT,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003383
"Phê duyệt dự án khuyến nông, thuyết minh dự án khuyến nông trung ương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003519
Công bố mở cảng cá loại 1,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004654
Nghiệm thu kết quả hàng năm dự án khuyến nông trung ương,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003496
"Tên thủ tục: Cấp, cấp lại, gia hạn giấy phép nuôi trồng thủy sản trên biển đối với nhà đầu tư nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004669
Phê duyệt nhiệm vụ khuyến nông thường xuyên,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003480
Phê duyệt điều chỉnh nhiệm vụ khuyến nông thường xuyên,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003464
"Cấp, cấp lại giấy phép nuôi trồng thủy sản trên biển cho tổ chức, cá nhân Việt Nam (đối với khu vực biển ngoài 06 hải lý, khu vực biển giáp ranh giữa các tỉnh, thành phố trực thuộc trung ương, khu vực biển nằm đồng thời trong và ngoài 06 hải lý)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004678
"Công nhận kết quả khảo nghiệm thức ăn thủy sản, sản phẩm xử lý môi trường nuôi trồng thủy sản",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004683
"Cấp giấy phép nhập khẩu thức ăn thủy sản, sản phẩm xử lý môi trường nuôi trồng thủy sản (để trưng bày tại hội chợ, triển lãm, nghiên cứu khoa học)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004794
"Cấp, cấp lại giấy chứng nhận cơ sở đủ điều kiện sản xuất thức ăn thủy sản, sản phẩm xử lý môi trường nuôi trồng thủy sản (đối với nhà đầu tư nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004803
Kiểm tra chất lượng muối nhập khẩu,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003524
"Cấp, cấp lại giấy chứng nhận cơ sở đủ điều kiện sản xuất, ương dưỡng giống thủy sản (đối với cơ sở sản xuất, ương dưỡng giống thủy sản bố mẹ, đối với cơ sở sản xuất, ương dưỡng đồng thời giống thủy sản bố mẹ và giống thủy sản không phải là giống thủy sản bố mẹ)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003821
"Cấp văn bản chấp thuận khai thác loài thủy sản nguy cấp, quý, hiếm (để mục đích bảo tồn, nghiên cứu khoa học, nghiên cứu tạo nguồn giống ban đầu hoặc để hợp tác quốc tế)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003851
Công nhận làng nghề,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003695
Cấp giấy xác nhận nguyên liệu thủy sản khai thác trong nước (theo yêu cầu),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003593
Công nhận nghề truyền thống,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003712
Cấp Giấy chứng nhận thẩm định thiết kế tàu cá,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003590
Cấp giấy chứng nhận đăng ký tạm thời tàu cá,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003586
Cấp giấy chứng nhận đăng ký tàu cá,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003650
"Cấp, cấp lại Giấy chứng nhận nguồn gốc thủy sản khai thác (theo yêu cầu)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003666
Xóa đăng ký tàu cá,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003681
Cấp lại Giấy chứng nhận cơ sở đủ điều kiện đăng kiểm tàu cá,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003726
Cấp Giấy chứng nhận cơ sở đủ điều kiện đăng kiểm tàu cá,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003741
Xác nhận bảng kê lâm sản (cấp huyện),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000037
Xác nhận bảng kê lâm sản.,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000045
Nộp tiền trồng rừng thay thế về Quỹ Bảo vệ và Phát triển rừng của tỉnh,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003363
"Thẩm định, phê duyệt phương án trồng rừng mới thay thế diện tích rừng chuyển sang sử dụng cho mục đích khác",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003399
Nộp tiền trồng rừng thay thế về Quỹ Bảo vệ và Phát triển rừng Việt Nam,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003403
"Cấp, cấp lại giấy phép nhập khẩu thủy sản sống đối với trường hợp không phải đánh giá rủi ro",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003790
Chuyển loại rừng đối với khu rừng do Ủy ban nhân dân cấp tỉnh quyết định thành lập,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000065
Công nhận nguồn giống cây trồng lâm nghiệp,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000052
Công nhận giống cây trồng lâm nghiệp,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000088
Công nhận chính thức giống cây trồng mới,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004887
"Cấp, cấp lại giấy phép nhập khẩu thủy sản sống đối với trường hợp phải đánh giá rủi ro",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003361
"Đăng ký mã số cơ sở nuôi, trồng các loài động vật rừng, thực vật rừng nguy cấp, quý, hiếm Nhóm II và động vật, thực vật hoang dã nguy cấp thuộc Phụ lục II và III CITES",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004815
"Đăng ký mã số cơ sở nuôi, trồng các loài động vật rừng, thực vật rừng nguy cấp, quý, hiếm Nhóm I và động vật, thực vật hoang dã nguy cấp thuộc Phụ lục I CITES",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004819
Phê duyệt phương án khai thác động vật rừng thông thường từ tự nhiên,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000047
"Cấp Giấy phép CITES xuất khẩu, tái xuất khẩu mẫu vật các loài động vật rừng, thực vật rừng nguy cấp, quý, hiếm và động vật, thực vật hoang dã nguy cấp thuộc các Phụ lục CITES",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003903
"Miễn, giảm tiền dịch vụ môi trường rừng (đối với bên sử dụng dịch vụ môi trường rừng trong phạm vi nằm trên địa giới hành chính từ hai tỉnh trở lên)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000095
Chuyển loại rừng đối với khu rừng do Thủ tướng Chính phủ quyết định thành lập,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000097
"Cấp giấy chứng nhận kiểm dịch thực vật nhập khẩu, kiểm tra nhà nước về an toàn thực phẩm hàng hóa có nguồn gốc thực vật nhập khẩu",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004038
Công bố mở cảng cá loại 2,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004694
"Phê duyệt hoặc điều chỉnh phương án quản lý rừng bền vững của chủ rừng là tổ chức trực thuộc các Bộ, ngành",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000099
Phê duyệt hoặc điều chỉnh phương án quản lý rừng bền vững của chủ rừng là tổ chức,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000055
Cấp Giấy phép nhập khẩu giống cây trồng lâm nghiệp,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001645
Cấp giấy phép nhập khẩu giống cây trồng biến đổi gen,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004960
Cấp giấy phép nhập khẩu giống cây trồng nông nghiệp,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004965
"Cấp Giấy phép CITES nhập khẩu mẫu vật các loài động vật, thực vật hoang dã nguy cấp thuộc các Phụ lục CITES",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003578
"Thẩm định, phê duyệt hồ sơ thiết kế và dự toán công trình lâm sinh",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005330
"Thẩm định, phê duyệt hồ sơ thiết kế, dự toán công trình lâm sinh (đối với công trình lâm sinh thuộc dự án do Chủ tịch UBND cấp tỉnh quyết định đầu tư)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003768
"Phê duyệt chương trình, dự án và hoạt động phi dự án được hỗ trợ tài chính của Quỹ bảo vệ và phát triển rừng cấp tỉnh",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000071
"Phê duyệt chương trình, dự án và hoạt động phi dự án được hỗ trợ tài chính của Quỹ bảo vệ và phát triển rừng trung ương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002161
Công nhận làng nghề truyền thống,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003727
"Miễn, giảm tiền dịch vụ môi trường rừng (đối với bên sử dụng dịch vụ môi trường rừng trong phạm vi địa giới hành chính của một tỉnh)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000058
"Điều chỉnh thiết kế, dự toán công trình lâm sinh (đối với công trình lâm sinh thuộc dự án do Chủ tịch UBND cấp huyện, UBND cấp xã quyết định đầu tư)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005337
"Thẩm định, phê duyệt hồ sơ thiết kế, dự toán công trình lâm sinh (đối với công trình lâm sinh thuộc dự án do Chủ tịch UBND cấp huyện, UBND cấp xã quyết định đầu tư)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004462
Kiểm tra nhà nước về an toàn thực phẩm muối nhập khẩu,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003486
Hỗ trợ dự án liên kết (cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003397
Kiểm tra nhà nước về an toàn thực phẩm đối với thực phẩm có nguồn gốc thực vật xuất khẩu,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003395
Kiểm tra nhà nước về an toàn thực phẩm nhập khẩu theo phương thức kiểm tra chặt thuộc thẩm quyền quản lý của Bộ Nông nghiệp và Môi trường,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001604
Kiểm tra nhà nước về an toàn thực phẩm nhập khẩu theo phương thức kiểm tra thông thường thuộc thẩm quyền quản lý của Bộ Nông nghiệp và Môi trường,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003814
Hỗ trợ dự án liên kết (cấp huyện),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003434
"Điều chỉnh thiết kế, dự toán công trình lâm sinh (đối với công trình lâm sinh thuộc dự án do Chủ tịch UBND cấp tỉnh quyết định đầu tư)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005342
"Điều chỉnh thiết kế, dự toán công trình lâm sinh",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.002147
Bố trí ổn định dân cư trong huyện,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003281
"Bố trí ổn định dân cư ngoài huyện, trong tỉnh",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003319
Bố trí ổn định dân cư ngoài tỉnh,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003327
"Thủ tục Thẩm định, phê duyệt quy hoạch tổng thể di dân, tái định cư các dự án thủy lợi, thủy điện",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001405
"Cấp Giấy chứng nhận đăng ký hoạt động thử nghiệm chất lượng sản phẩm, hàng hóa",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.002130
"Cấp lại Giấy chứng nhận đăng ký hoạt động thử nghiệm chất lượng sản phẩm, hàng hóa",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003414
"cấp Giấy chứng nhận đăng ký hoạt động kiểm định chất lượng sản phẩm, hàng hóa",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003413
"cấp bổ sung, sửa đổi Giấy chứng nhận đăng ký hoạt động thử nghiệm chất lượng sản phẩm, hàng hóa",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003416
"cấp bổ sung, sửa đổi Giấy chứng nhận đăng ký hoạt động kiểm định chất lượng sản phẩm, hàng hóa",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003412
"cấp Giấy chứng nhận đăng ký hoạt động giám định chất lượng sản phẩm, hàng hóa",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003392
"cấp lại Giấy chứng nhận đăng ký hoạt động kiểm định chất lượng sản phẩm, hàng hóa",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003396
"Thủ tục khen thưởng Huân chương Sao vàng cho tập thể, cá nhân về thành tích thực hiện nhiệm vụ chính trị",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003567
Tính tiền cấp quyền khai thác tài nguyên nước đối với công trình đã vận hành (cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001770
Điều chỉnh tiền cấp quyền khai thác tài nguyên nước (cấp tỉnh),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004283
Tính tiền cấp quyền khai thác tài nguyên nước đối với công trình đã vận hành,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004453
Điều chỉnh tiền cấp quyền khai thác tài nguyên nước (cấp Trung ương),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004489
Cấp lại Giấy chứng nhận đăng ký kết nối để cung cấp dịch vụ nội dung thông tin trên mạng viễn thông di động,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004254
Thủ tục giải quyết đơn khiếu nại lần đầu cấp Bộ Quốc phòng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001441
"Thủ tục giải quyết khiếu nại lần hai cấp Quân đoàn, Binh đoàn, Binh chủng, Bộ Tư lệnh Cảnh sát biển, Bộ Tư lệnh Thủ đô Hà Nội, Bộ Tư lệnh Bảo vệ Lăng Chủ tịch Hồ Chí Minh, Tập đoàn viễn thông Quân đội và cấp tương đương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004562
Thủ tục giải quyết khiếu nại lần hai cấp Bộ Quốc phòng,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004575
"Thủ tục giải quyết khiếu nại lần hai cấp Bộ Tổng Tham mưu, Tổng cục Chính trị, các Tổng cục; Quân khu, Quân chủng, Bộ Tư lệnh Bộ đội Biên phòng và cấp tương đương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004578
"Thủ tục giải quyết khiếu nại lần đầu cấp Bộ Tổng Tham mưu, Tổng cục Chính trị, các Tổng cục; Quân khu, Quân chủng, Bộ Tư lệnh Bộ đội Biên phòng và cấp tương đương",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001844
Thẩm định các hoạt động sử dụng bãi sông liên quan đến đê điều nơi chưa có công trình xây dựng để xây dựng công trình theo dự án đầu tư do Thủ tướng Chính phủ phê duyệt,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003453
"Thủ tục cấp Giấy phép nhập cảnh thi hài, hài cốt, tro cốt về Việt Nam",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000826
Thủ tục giải quyết khiếu nại lần 2 tại cấp huyện,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001920
Thủ tục giải quyết khiếu nại lần 2 tại cấp tỉnh,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001924
Thủ tục giải quyết khiếu nại lần 2 tại cơ quan Trung ương,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004903
"Khai thác, sử dụng thông tin, dữ liệu khí tượng thủy văn (cấp TW)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001149
Cấp lại Chứng minh nhân dân (9 số) thực hiện tại cấp tỉnh,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003404
Đổi Chứng minh nhân dân (9 số) thực hiện tại cấp tỉnh,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003410
Cấp Chứng minh nhân dân (9 số) thực hiện tại cấp tỉnh,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003411
thủ tục giải quyết tố cáo tại cấp huyện,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001913
Thủ tục giải quyết tố cáo tại cấp tỉnh,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001916
Thủ tục giải quyết tố cáo tại cấp xã,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.002168
Thủ tục giải quyết tố cáo tại cơ quan Trung ương,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.002185
Thủ tục giải quyết khiếu nại lần đầu tại cấp xã,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001925
